LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (4143.0751 57.106480 57.106480)
  64 by 1 by 1 MPI processor grid
  reading atoms ...
  360800 atoms
  read_data CPU = 5.052 seconds
800 atoms in group source
800 atoms in group detector
400 atoms in group edge
400 atoms in group edge_buf
120000 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 546 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.376 | 4.616 | 9.668 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz 
           0        0    4143.0751    12.766153 -4.2873225e-14 -2.2057138e-14     57.10648     57.10648   -85.456504   -85.456504 -1.3031014e-14 
       0.001        1    4143.0751    4.9624194 -3.8538254e-14 -2.1809136e-14     57.10648     57.10648   -95.172201   -95.172201 -5.1749086e-13 
       0.002        2    4143.0751    2.7193318 -4.7255124e-14 -1.4418502e-14     57.10648     57.10648   -97.006352   -97.006352 3.9738479e-13 
       0.003        3    4143.0751    3.2072967 -4.3857433e-14 -9.4362547e-14     57.10648     57.10648   -96.140203   -96.140203 -1.3635668e-13 
       0.004        4    4143.0751    2.6400573 9.182689e-14 1.4471166e-13     57.10648     57.10648   -96.501525   -96.501525 4.1138116e-13 
       0.005        5    4143.0751    1.8692697 3.6538726e-14 1.5465149e-16     57.10648     57.10648   -97.038029   -97.038029 9.6006733e-15 
       0.006        6    4143.0751    1.5880349  1.79331e-13 1.4743588e-13     57.10648     57.10648   -97.222835   -97.222835  -5.1083e-13 
       0.007        7    4143.0751    1.4304795 7.2171278e-14 6.8058384e-14     57.10648     57.10648   -97.302236   -97.302236 4.7251357e-14 
       0.008        8    4143.0751    1.3102667 1.3382327e-14 -7.3070735e-16     57.10648     57.10648   -97.373091   -97.373091 -1.4093701e-13 
       0.009        9    4143.0751    1.1651506 4.3407157e-14 -7.8374245e-14     57.10648     57.10648   -97.467596   -97.467596 2.1296234e-13 
        0.01       10    4143.0751    1.0801049 -5.6799495e-14 5.4552673e-14     57.10648     57.10648   -97.519517   -97.519517 -1.6111573e-13 
       0.011       11    4143.0751    1.0182961 8.719265e-15 6.1570342e-14     57.10648     57.10648    -97.55383    -97.55383 -7.821694e-14 
       0.012       12    4143.0751   0.96492776 -1.9717129e-14 -6.8335784e-14     57.10648     57.10648   -97.585187   -97.585187 -1.1335931e-13 
