LAMMPS (29 Sep 2021 - Update 1)
KOKKOS mode is enabled (../kokkos.cpp:97)
  will use up to 2 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.0000000 0.0000000 0.0000000) to (436.86457 57.106480 57.106480)
  16 by 2 by 2 MPI processor grid
  reading atoms ...
  120800 atoms
  read_data CPU = 0.217 seconds
800 atoms in group source
800 atoms in group detector
0 atoms in group edge
0 atoms in group edge_buf
0 atoms in group buffer
WARNING: Using 'neigh_modify every 1 delay 0 check yes' setting during minimization (../min.cpp:188)
Neighbor list info ...
  update every 1 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.6
  ghost atom cutoff = 7.6
  binsize = 7.6, bins = 58 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Fixes cannot yet send exchange data in Kokkos communication, switching to classic exchange/border communication (../comm_kokkos.cpp:581)
Per MPI rank memory allocation (min/avg/max) = 2.301 | 2.470 | 2.508 Mbytes
Time Step Lx Pxx Pxy Pxz Ly Lz Pyy Pzz Pyz TotEng Temp Volume 
           0        0    436.86457    118.80219 -5.4869106e-13 -5.0542593e-13     57.10648     57.10648    -812.7081    -812.7081 3.0525084e-13   -497261.36            0    1424680.9 
       0.001        1    436.86457     44.79424 -4.7556279e-13 -5.2448024e-13     57.10648     57.10648   -904.84846   -904.84846 -3.307269e-13   -497263.27            0    1424680.9 
       0.002        2    436.86457     23.52156 -2.6280449e-13 -7.9593073e-13     57.10648     57.10648   -922.24294   -922.24294 1.3174718e-14   -497263.32            0    1424680.9 
       0.003        3    436.86457    28.149253 -6.2777371e-13 -4.7777717e-13     57.10648     57.10648   -914.02867   -914.02867 -5.8025643e-13   -497263.39            0    1424680.9 
       0.004        4    436.86457    22.769747 1.6711651e-14 4.1214445e-14     57.10648     57.10648   -917.45532   -917.45532 -2.0235237e-12    -497263.4            0    1424680.9 
       0.005        5    436.86457    15.459859 -3.7734562e-13 -4.4454385e-13     57.10648     57.10648   -922.54335   -922.54335 -8.1574116e-13    -497263.4            0    1424680.9 
       0.006        6    436.86457    12.792724 -5.530705e-13 -7.7440158e-13     57.10648     57.10648   -924.29598   -924.29598 -8.81116e-13    -497263.4            0    1424680.9 
       0.007        7    436.86457    11.298523 -5.825809e-13 6.9909637e-13     57.10648     57.10648   -925.04899   -925.04899 -2.6656579e-12    -497263.4            0    1424680.9 
       0.008        8    436.86457    10.158465 1.2629061e-13 1.0677689e-12     57.10648     57.10648   -925.72096   -925.72096 -8.3066314e-13    -497263.4            0    1424680.9 
       0.009        9    436.86457    8.7822335 -2.2032468e-13 -6.9546449e-13     57.10648     57.10648   -926.61722   -926.61722 2.8996744e-13    -497263.4            0    1424680.9 
        0.01       10    436.86457    7.9756887 -4.1509292e-13 1.6440688e-12     57.10648     57.10648   -927.10962   -927.10962 -5.0087758e-13    -497263.4            0    1424680.9 
       0.011       11    436.86457    7.3895153 8.543454e-13 1.1838135e-13     57.10648     57.10648   -927.43503   -927.43503 5.3986216e-14    -497263.4            0    1424680.9 
       0.012       12    436.86457    6.8833877 1.8783701e-13 3.6710832e-13     57.10648     57.10648    -927.7324    -927.7324 2.2446194e-13    -497263.4            0    1424680.9 
       0.013       13    436.86457    6.3274472 -6.7732139e-14 -2.2616957e-13     57.10648     57.10648   -928.08443   -928.08443 -8.195386e-13    -497263.4            0    1424680.9 
       0.014       14    436.86457    5.9317412 6.6613758e-13 2.0175718e-13     57.10648     57.10648   -928.32489   -928.32489 -4.3208553e-15    -497263.4            0    1424680.9 
       0.015       15    436.86457    5.6267772 4.588898e-13 1.8493654e-13     57.10648     57.10648   -928.49523   -928.49523 -1.3477326e-13    -497263.4            0    1424680.9 
       0.016       16    436.86457    5.3396062 -9.2126158e-14 -2.8303957e-13     57.10648     57.10648   -928.66612   -928.66612 -7.0152378e-13    -497263.4            0    1424680.9 
       0.017       17    436.86457    5.0405437 -1.1346452e-12 4.9306867e-13     57.10648     57.10648   -928.85271   -928.85271 2.3374026e-14    -497263.4            0    1424680.9 
       0.018       18    436.86457    4.8076098 -9.5397219e-14 -1.4353866e-12     57.10648     57.10648   -928.99267   -928.99267 -1.3259433e-13    -497263.4            0    1424680.9 
       0.019       19    436.86457    4.6186846 1.1776849e-13 2.0519763e-13     57.10648     57.10648   -929.10002   -929.10002 -3.6688448e-13    -497263.4            0    1424680.9 
        0.02       20    436.86457     4.433151 -4.0348976e-13 -1.1800737e-13     57.10648     57.10648   -929.21062   -929.21062 1.311867e-13    -497263.4            0    1424680.9 
       0.021       21    436.86457    4.2464509 -7.5356641e-13 -9.9817253e-13     57.10648     57.10648   -929.32623   -929.32623 4.737663e-13    -497263.4            0    1424680.9 
       0.022       22    436.86457    4.0922427 -4.9614332e-14 1.2105825e-13     57.10648     57.10648   -929.41835   -929.41835 -5.6662076e-13    -497263.4            0    1424680.9 
       0.023       23    436.86457     3.963484 5.1922607e-12 -7.325167e-13     57.10648     57.10648   -929.49207   -929.49207 -7.6219447e-14    -497263.4            0    1424680.9 
       0.024       24    436.86457    3.8332485 5.2869824e-11 -1.6856184e-11     57.10648     57.10648   -929.57003   -929.57003 -1.2442846e-11    -497263.4            0    1424680.9 
       0.025       25    436.86457    3.7072448 3.7989881e-10 -1.0728681e-10     57.10648     57.10648   -929.64754   -929.64754 -1.64806e-10    -497263.4            0    1424680.9 
       0.026       26    436.86457    3.6108182 2.112733e-09 -5.6484245e-10     57.10648     57.10648   -929.70506   -929.70506 -1.3180484e-09    -497263.4            0    1424680.9 
       0.027       27    436.86457    3.5365146 1.539714e-09 -3.5647248e-10     57.10648     57.10648   -929.74822   -929.74822 -1.5235347e-09    -497263.4            0    1424680.9 
